Domain,Area,Element,Item,Year,Unit,Value
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2014","t","12396900.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2015","t","13777541.76"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2016","t","14684878.34"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2017","t","14374862.11"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2018","t","15590191.94"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2019","t","15439871.46"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2020","t","16730376.75"
"Supply Utilization Accounts (2010-)","European Union (27)","Processed","Soya beans","2021","t","16472254.54"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2010","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2011","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2012","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2013","t","0"
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Tourist consumption","Soya beans","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2010","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2011","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2012","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2013","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2014","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2015","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2016","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2017","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2018","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2019","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2020","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Other uses (non-food)","Soya beans","2021","",""
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2010","t","76071.51"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2011","t","75255.78"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2012","t","80800.23"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2013","t","100071.82"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2014","t","95569.15"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2015","t","90966.13"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2016","t","53360.33"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2017","t","60033.25"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2018","t","98667.88"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2019","t","108543.65"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2020","t","114991.87"
"Supply Utilization Accounts (2010-)","European Union (27)","Food supply quantity (tonnes)","Soya beans","2021","t","106094.01"
